pid,project_id,authors,sort_year,title,location,host,pres_date,type,url
prs_1,prj_4,"Nassar, Nassib, Beltaine, Sharon, Zoss, Angela M. and Walker, Kevin",2020,FOLIO Reporting with the Library Data Platform,presented online.,FOLIO Forum,"February 12, 2020",Webinar,
prs_2,prj_4,"Zoss, Angela M.",2020,Reporting 101: Using the Library Data Platform (LDP) for Library Reporting,"College Station, TX",2020 World Open Library Foundation Conference (WOLFCon 2020),"January 23, 2020",Presentation and demonstration,
prs_3,,"Zoss, Angela M.",2020,Visualization in R using ggplot2,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Fall 2017 to Spring 2020,Workshop,
prs_4,prj_4,"Zoss, Angela M.",2020,Building an Open Source Reporting Platform for FOLIO,"Austin, TX",2020 Electronic Resources & Libraries Annual Conference (ER&L2020),"March 9, 2020",Poster presented,
prs_5,prj_3,"Zoss, Angela M.",2020,Partnering with Data Science Students on Journal Usage Analysis,"Austin, TX",2020 Electronic Resources & Libraries Annual Conference (ER&L2020),"March 10, 2020",Presentation,URL: http://bit.ly/ERL20-60-02
prs_6,,"Forzetting, Sarah, Sidman, Angela and Zoss, Angela M.",2020,Protecting patron privacy - what are the issues and what can we do?,"Austin, TX",2020 Electronic Resources & Libraries Annual Conference (ER&L2020),"March 11, 2020",Panel presentation,
prs_7,,"Zoss, Angela M.",2019,Accessibility in Word and PowerPoint,"Durham, NC",Duke University Libraries – Librarians’ Summer Camp,"July 31, 2019",Hands-on workshop,
prs_8,,"Zoss, Angela M.",2019,Advanced ggplot2 techniques,"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Fall 2019,Workshop,
prs_9,,"Zoss, Angela M.",2019,Big Data Ethics,"Durham, NC",undergraduate Information Science + Studies course on The Googlization of Knowledge,"November 7, 2019",Guest lecture,
prs_10,,"Zoss, Angela M.",2019,Communicating data through visualization,"Durham, NC","Duke Office of Audit, Risk and Compliance All-Staff Meeting","February 8, 2019",Presentation,
prs_11,,"Zoss, Angela M.",2019,Data cleaning and manipulation with OpenRefine,"Durham, NC",Duke University Libraries – Librarians’ Summer Camp,"August 1, 2019",Hands-on workshop,
prs_12,,"Zoss, Angela M.",2019,Data visualization workshop,"Chapel Hill, NC and Statesville, NC",State Library of North Carolina – Library Data Users’ Group,"September 26 and 27, 2019",Half-day workshop for library data professionals,
prs_13,,"Zoss, Angela M. and Monson, Eric",2019,Ethics and Visualization,"Durham, NC",Duke ASIST Responsible Conduct of Research Series,"April 19, 2019",Presentation,
prs_14,,"Zoss, Angela M.",2019,Improving Stakeholder Communication with Data Visualizations,"Austin, TX",Designing for Digital (D4D) Conference 2019,"March 6, 2019",Accepted conference seminar,
prs_15,,"Zoss, Angela M.",2019,Presenting Data Science Results to Stakeholders,"Durham, NC",DataFest Workshop Series,"March 26, 2019",Presentation,
prs_16,,"Zoss, Angela M., Nelson, Rob, Hall, Josh and Eily, Ariana",2019,SciArt & Multimedia,"Durham, NC",2019 ComSciCon – Triangle Communicating Science Workshop,"April 6, 2019",Invited panel presentation,
prs_17,,"Zoss, Angela M.",2019,Thinking (and teaching) critically for data visualization,"Raleigh, NC",North Carolina State University Libraries’ Coffee and Viz series,"October 18, 2019",Invited presentation,
